word	count
un	6209
»	2682
kā	2021
ka	1822
ar	1794
arī	1656
bet	1655
bij	1596
uz	1565
no	1564
tad	1518
par	1464
pie	1338
gan	1298
to	1293
tik	1173
ir	1121
vai	1072
jo	1045
tā	1035
—	993
vēl	941
vien	907
viņš	871
kad	848
lai	824
jau	771
es	771
tas	765
viņa	751
ko	697
kas	649
pa	606
viņu	577
līdz	539
pēc	525
nu	512
ja	465
kur	458
savu	452
tur	452
nav	444
man	429
tagad	421
kaut	408
atkal	404
tu	402
kurš	391
sacīja	380
vairs	378
nekā	377
ne	374
pats	368
prātnieks	345
viņam	339
kādu	335
it	333
sāka	333
tam	324
visu	319
pietuka	310
visi	309
bez	301
tomēr	300
jūs	292
caur	292
nemaz	290
esot	289
vairāk	287
var	286
tādēļ	282
viņas	281
nebij	281
tāpat	276
gandrīz	276
vis	271
atbildēja	265
šo	264
tie	252
kāds	250
daudz	243
cik	242
būtu	242
nedz	240
būs	239
tūliņ	235
tās	234
viņi	227
kuru	224
še	224
būt	214
krustiņš	210
laikam	209
kura	208
labi	204
jeb	200
švauksts	199
kuri	198
runāja	195
atpakaļ	193
tāpēc	192
savā	191
drīz	185
priekš	185
visiem	184
jums	183
iet	181
īsti	177
varēja	175
tiem	174
citi	172
varbūt	171
pat	168
«bet	167
mērnieka	166
ķencis	166
dieva	164
tev	163
sacīt	163
savas	161
«nu	158
arvienu	158
viņiem	156
liena	156
pati	155
drusku	154
mums	154
ļoti	154
kāda	153
iekšā	153
aiz	153
mani	152
pretī	150
dievs	149
valsts	149
oļiniete	149
taī	148
zināms	148
pavisam	147
paši	147
tādu	147
oļiņš	146
kungs	145
pašu	144
viņai	142
annuža	142
šis	141
kuras	140
nevarēja	137
tāļāk	136
citu	135
mēs	135
viss	134
«jā	133
laiku	133
tikpat	132
feldhauzens	132
pret	131
šaī	131
mājā	129
runas	129
jāsaka	127
gāja	127
goda	127
«vai	126
neviens	126
viens	126
labu	126
sirds	125
pēdīgi	122
palika	122
vietā	121
stāvēja	120
cits	117
citiem	117
patlaban	116
zin	114
brīdi	113
priekšā	112
māju	112
kādas	111
mūsu	111
diezgan	111
nevar	109
šās	109
šī	109
visas	108
naudas	108
jautāja	107
grib	107
atteica	107
laika	106
divi	106
mērnieks	105
kamēr	104
rokas	102
pašā	102
tos	100
dienas	100
dienu	100
klāt	100
lienas	97
jūsu	97
runāt	97
naudu	97
visa	96
varētu	96
vīrs	95
neesot	95
labāk	94
daži	94
vienu	94
galda	94
prātnieka	93
zināt	93
nebūtu	93
lietas	93
bijis	93
esmu	92
kaspars	92
feldhauzena	92
vārdu	91
«es	91
istabā	90
acis	90
mājas	90
paša	89
nāca	89
sava	89
vārdiem	89
tiesa	89
raņķis	89
allaž	88
projām	88
viena	86
jel	86
šā	86
laukā	86
pusi	86
ap	86
gribēja	85
dēļ	84
tēvs	84
kuriem	84
itin	84
durvīm	83
nekad	83
viņus	83
sevis	83
rokā	83
teica	82
darīt	81
ceļu	81
varot	81
laikā	81
nekas	80
vajadzēja	80
visus	80
oļiņa	79
brīžam	78
ārā	78
darba	78
tenis	78
pašam	78
nebūs	77
ilgi	77
šiem	77
cita	77
cilvēks	76
kopā	76
kurā	76
jā	76
«ko	76
saviem	76
otru	76
ak	75
bērnu	75
patiesi	75
redzēt	74
otrā	74
lietu	74
roku	73
puses	73
stipri	72
tāda	72
tāds	72
vidū	72
paliek	72
balsī	72
šrekhubers	72
brītiņu	71
pašiem	71
šim	71
šodien	70
nekāda	70
sēdēja	70
lielu	69
kunga	69
turpretī	69
vārdus	69
kādā	69
turpat	69
trīs	69
zirgu	68
manis	68
vaļā	68
te	68
pasaules	68
tāļu	67
tām	67
citādi	67
dienā	67
kuram	67
lieta	67
skaidri	66
bisars	66
kādēļ	66
vajaga	66
čangalieši	66
laiks	65
jauna	65
tevi	65
reizi	65
sevi	65
nekādas	65
tiesas	65
mērnieku	64
esi	64
«un	64
pirmā	63
dot	63
dēls	63
manu	63
drekberģis	63
ceļa	62
ļaužu	62
šie	62
klusu	62
tādas	62
tautas	62
droši	61
nāk	61
zemes	61
«kas	61
pašas	61
«jo	61
apkārt	60
durvis	60
iesaucās	60
abi	60
visām	60
kam	60
sirdi	59
cieti	59
starp	59
papriekšu	59
«tas	59
reizes	58
tikko	58
pār	58
savus	58
komitejas	58
agrāk	57
esam	57
ļaudis	57
galā	56
lienu	56
ilze	56
būšot	56
liela	55
nezin	55
sacīdams	55
brīdī	55
neviena	55
darbu	55
stāv	54
ziņā	54
vietas	54
slātavas	54
vajadzīgs	54
pāri	53
galvas	53
otra	53
kādus	53
dzīves	53
esat	53
«ak	53
virsū	53
stāstīt	53
visai	53
nenieka	53
starpā	52
lika	52
valodas	52
tādiem	52
lietā	52
atradās	52
pirmais	52
ienāca	52
nebūt	52
ikkatru	52
stāstīja	52
dabūt	52
nākt	51
cilvēku	51
izgāja	51
uzsauca	51
vārda	51
slātavieši	51
cienīgs	51
kādreiz	50
cauri	50
šurp	50
dievam	50
tikām	50
nost	50
sev	50
prātniekam	50
manas	49
«lai	49
ikkatrs	49
acīm	49
lūk	49
neesmu	49
pasaulē	49
tikt	48
vienādi	48
turklāt	48
sakot	48
vārdi	48
turēja	48
tēva	47
izsaucās	47
palikt	47
ņemt	47
domas	47
grabovskis	47
kādi	46
bērns	46
varu	46
vīri	46
ziņu	46
tai	46
cilvēki	46
labprāt	46
muižas	46
krustiņa	46
kungi	46
kurus	45
prāts	45
gribot	45
mana	45
tādi	45
spēku	45
nomanīt	45
darīja	45
sauca	45
čangaliešu	45
vīriem	45
šos	44
gar	44
bērna	44
dažas	44
domāt	44
prātnieku	44
priekšu	44
valodu	44
maz	44
cilvēkiem	44
mierīgi	44
asaras	44
iz	44
pāvuls	44
prātu	44
tika	44
māte	43
dara	43
mācītājs	43
likt	43
tēvam	43
tēv	43
visā	43
tevis	43
visur	43
mierā	43
saka	43
darbiem	43
krodzinieks	43
valdības	43
vecā	42
bērni	42
istabas	42
atrada	42
dažs	42
mans	42
kurām	42
vakarā	42
garām	42
otrs	42
kliedza	42
taisījās	42
vienīgi	42
likās	41
nāks	41
bijusi	41
diena	41
pilnīgi	41
dzirdēt	41
nevaru	41
darbs	41
dziesmu	41
lienai	41
pusē	40
dzīvot	40
sieva	40
vietu	40
citas	40
taisni	40
galvu	40
zināja	40
piepeši	40
raņķa	40
dažu	39
rīta	39
īpaši	39
kurp	39
bēdas	39
aizgāja	39
rokām	39
vajagot	39
pilnā	39
daļai	39
biju	38
zini	38
acīs	38
vērā	38
savām	38
nevis	38
slātaviešu	38
tīri	38
braukt	38
laba	38
ik	37
iesāka	37
prātā	37
šoreiz	37
nauda	37
lietām	37
vārds	37
liels	37
bisara	37
vismazāk	37
mērniekam	37
vienā	36
«tā	36
skolas	36
citur	36
zemē	36
gala	36
slātaviešiem	36
domā	36
ceļš	36
citus	36
kājām	36
pilnu	36
gara	36
maltītes	36
dienās	36
apakš	36
annužai	36
bēru	36
kundze	36
«tad	35
maizes	35
kabatas	35
ratos	35
skatījās	35
smejies	35
būdams	35
«kad	35
turp	35
maltīti	35
«nē	35
alga	35
malas	34
abas	34
iegāja	34
labs	34
prāta	34
negribēja	34
rītā	34
zirgus	34
grēku	34
dzirdēja	34
nespēja	34
velti	34
spēkā	34
divdesmit	34
cilvēkam	34
domāja	34
kungu	34
prieku	33
šai	33
jaunu	33
skatīdamies	33
ceļā	33
domāju	33
kabatā	33
kaspara	33
valodā	33
tavu	33
ikkatra	33
nevienam	33
dod	33
cilvēka	33
nakti	33
muguras	33
mīlestību	33
zirgiem	33
vernanders	33
sen	32
ejot	32
tuvāk	32
bijuši	32
lielā	32
pēdējā	32
tādā	32
saimnieki	32
vīra	32
oļiņu	32
oļinietes	32
krogā	32
robežu	32
daļa	31
laikos	31
dzirdējis	31
nevarot	31
«ja	31
lielas	31
redz	31
grūti	31
atrodas	31
spēka	31
sirdī	31
līdzās	31
oļiņiem	31
bēdu	31
atsaucās	31
ikkatram	31
«lūk	30
viņā	30
citām	30
ūdens	30
viegli	30
gluži	30
tēvu	30
meitas	30
iespējams	30
iedams	30
vecais	30
mērnieki	30
kungam	30
priecīgi	30
gaitiņu	30
mērīšanas	30
tikvien	30
izskatījās	29
ņēma	29
savās	29
redzams	29
«man	29
gribēju	29
abām	29
pakaļ	29
saimnieks	29
katrs	29
tuvumā	29
gulēja	29
noticis	29
kasparu	29
nekāds	29
puisis	29
zemi	29
cieta	29
ratiem	29
spēks	29
ticēt	29
mērniekiem	29
tiesu	29
cienīgam	29
krustiņu	29
das	29
zirgi	28
nezinu	28
tanīs	28
māja	28
teikt	28
šādu	28
pirmāk	28
vīru	28
steidzās	28
galu	28
gribēdams	28
izlikās	28
gribi	28
tiek	28
citam	28
godu	28
vienam	28
dzīvības	28
darbus	28
žēlastības	28
vasaras	28
cienīga	28
rubļu	28
taisnības	28
nepatikšanu	28
palīga	28
pangsneju	28
mātes	27
varēs	27
saimniece	27
iznāca	27
laikiem	27
balsi	27
sagaidīt	27
grāmatu	27
krusta	27
pirmo	27
domām	27
biedrības	27
nupat	27
tātad	27
otram	27
čangaliešiem	27
gaidīt	27
reizē	27
ķencim	27
nācis	27
meita	26
kapsētu	26
nogāja	26
slātavu	26
lielākā	26
skanēja	26
jāiet	26
pēdējo	26
kārtā	26
gadu	26
tādus	26
labā	26
kungiem	26
vakar	26
vēlāk	26
baznīcas	26
acumirklī	26
taisnību	26
kādam	26
švaukstu	26
dienām	26
vajadzības	26
taisnība	26
necik	26
dažus	25
vietās	25
nolika	25
atrast	25
runā	25
ienācējs	25
balss	25
mieru	25
augšu	25
reiz	25
palicis	25
zīmes	25
saku	25
nezināja	25
nakts	25
dažiem	25
garā	25
zinu	25
kroga	25
dievu	25
troksni	25
asiņu	25
gribētu	25
padomu	25
robežas	25
čangalienas	25
veco	24
kājas	24
viesi	24
krustiņam	24
nes	24
šādā	24
mazu	24
gribēdama	24
vienas	24
devās	24
miera	24
«par	24
turēt	24
vecītis	24
kādām	24
baznīcā	24
mantu	24
zirgs	24
gaidīja	24
dzirdēdams	24
gribu	24
gados	24
dzīvoja	24
andž	24
lūdza	24
ruļļus	24
gadus	23
rokās	23
pašai	23
drīzāk	23
jaunā	23
jauns	23
saimniekiem	23
teni	23
debesīs	23
vārdā	23
mutes	23
muti	23
istabu	23
saņēma	23
irbēnu	23
oļiņam	23
citā	23
gultas	23
tuvu	23
mēģināja	23
cepuri	23
desmit	23
bailēm	23
prātniek	23
darījis	23
redzējis	23
šādas	23
negrib	23
nekādu	23
valdība	23
nevarēs	23
kapa	23
jaunskungs	23
«reiboņa»	23
iepriekš	22
apstājās	22
atbildēt	22
mutē	22
mācītāja	22
bail	22
deva	22
dziedāt	22
gādāt	22
«tur	22
annužas	22
joprojām	22
bērniņu	22
klēpī	22
māsiņ	22
kurai	22
pilna	22
kādiem	22
bērnam	22
muižu	22
lielo	22
cietumā	22
mēdza	22
dziesmas	22
atskanēja	22
ieraudzīja	22
skatīties	22
rītu	22
brauca	22
krogu	22
ņem	22
rādīja	22
ķenča	22
pilsētu	22
meklēt	22
pēdējos	22
veltīgi	22
vajadzība	22
nomodā	22
naktī	22
nama	22
ziņas	22
cienīgu	22
komiteja	22
«kur	21
bija	21
kājās	21
ātri	21
runājot	21
dzirdēju	21
vest	21
prasīja	21
turēdams	21
domīgi	21
«kā	21
mazāk	21
mīļā	21
pulka	21
saki	21
